,Accuracy,Precision,Recall,F1,AUC,MSE,R²
DT — Original,0.75,0.625,0.6060606060606061,0.6153846153846154,0.7756671189507011,,
DT — Re-etiquetado,0.96,0.967741935483871,0.9090909090909091,0.9375,0.9941203075531434,,
LR — Original,0.8,0.782608695652174,0.5454545454545454,0.6428571428571429,0.7939846223428313,,
LR — Re-etiquetado,0.96,1.0,0.8787878787878788,0.9354838709677419,1.0,,
LinReg — Original,0.79,0.75,0.5454545454545454,0.631578947368421,0.7835820895522388,0.1661111163348382,0.2487059414977918
LinReg — Re-etiquetado,0.92,0.9310344827586207,0.8181818181818182,0.8709677419354839,0.9891451831750339,0.07376070514277755,0.66639210699784
